 
 
 rho =   0.10000000149011612     
 steppotK_energytotal
           1  -19.508669694159646        1444.5336553686743        1425.0249856745147     
        1000  -19.530900609304052        18354.224083470181        18334.693182860876     
        2000  -19.549378525921576        21292.898087502421        21273.348708976500     
        3000  -19.572543030562109        17241.672606080090        17222.100063049529     
        4000  -19.589687042502288        19464.270183447745        19444.680496405243     
        5000  -19.614321403039927        21582.944816951389        21563.330495548347     
        6000  -19.628897847793148        17725.611788550847        17705.982890703053     
        7000  -19.650361805124156        20867.306638855600        20847.656277050475     
        8000  -19.679323308929440        16750.066516375671        16730.387193066741     
        9000  -19.707289194881252        16844.779532655448        16825.072243460567     
       10000  -19.730970903376775        18074.744383350022        18055.013412446646     
