 
 
 rho =   0.10000000149011612     
        1001  -19.733728534031290        237.04514748241436        217.31141894838308        1.2744362767871742     
        2002  -19.734113695898831        274.67914680600740        254.94503311010857        1.4767696064839109     
        3003  -19.734386565876889        274.45853727689672        254.72415071101983        1.4755835337467567     
        4004  -19.735357518149616        288.77757544919115        269.04221793104153        1.5525676099418879     
        5005  -19.736558691359647        283.03890361952301        263.30234492816339        1.5217145355888335     
        6006  -19.737294418366883        295.33152612699365        275.59423170862675        1.5878039039085681     
        7007  -19.736317029566798        269.25320078020673        249.51688375063992        1.4475978536570255     
        8008  -19.736863350565919        240.29180967368234        220.55494632311641        1.2918914498585072     
        9009  -19.736176216064212        284.16858895184725        264.43241273578303        1.5277881126443402     
       10010  -19.736644066321048        274.15469917023950        254.41805510391845        1.4739499955389221     
       11011  -19.736350110181949        245.56066189958742        225.82431178940547        1.3202186123633732     
       12012  -19.735263975779151        268.98482133545326        249.24955735967410        1.4461549534164155     
       13013  -19.735896297662418        251.70118510614202        231.96528880847961        1.3532321779900109     
       14014  -19.735474797773339        269.36714804249760        249.63167324472425        1.4482104733467613     
       15015  -19.738220159688609        248.79470283983107        229.05648268014247        1.3376059292464038     
       16016  -19.740855823622880        258.60761637406546        238.86676055044256        1.3903635288928251     
       17017  -19.740987072159712        306.19314196526938        286.45215489310965        1.6461996879853193     
       18018  -19.742054890059428        292.19039343661080        272.44833854655138        1.5709160937452196     
       19019  -19.742621241233930        283.96545822320559        264.22283698197168        1.5266960119527184     
       20020  -19.741046422502198        254.43810824485865        234.69706182235646        1.3679468185207455     
       21021  -19.741757907054744        267.36369327975621        247.62193537270147        1.4374392111814851     
       22022  -19.740530742493561        272.86874366312315        253.12821292062961        1.4670362562533503     
       23023  -19.740816709479176        240.62885261664218        220.88803590716299        1.2937035086916246     
       24024  -19.740516952713801        298.03807510492851        278.29755815221472        1.6023552424996157     
       25025  -19.740398493172858        285.17334236476188        265.43294387158903        1.5331900127137736     
       26026  -19.740752027838074        248.27350228422247        228.53275025638439        1.3348037757216262     
       27027  -19.741692972028336        260.83018198676228        241.08848901473394        1.4023128063804424     
       28028  -19.741901569573731        280.56495862911879        260.82305705954508        1.5084137560705313     
       29029  -19.742786327467204        272.70398653606378        252.96120020859658        1.4661504652476549     
       30030  -19.742465905104318        231.93916103023309        212.19669512512877        1.2469847367216833     
       31031  -19.745572094772108        262.04670801548355        242.30113592071143        1.4088532689004494     
       32032  -19.746255052298121        255.60995563956439        235.86370058726627        1.3742470733309915     
       33033  -19.746827521399972        245.35432629831888        225.60749877691890        1.3191092811737575     
       34034  -19.746521657035341        268.72351785000842        248.97699619297308        1.4447500959677873     
       35035  -19.748530620938226        261.53171843248060        241.78318781154238        1.4060845077015087     
       36036  -19.750596478558123        255.28663155315658        235.53603507459846        1.3725087717911646     
       37037  -19.748489897114428        268.89547243717749        249.14698254006305        1.4456745829955779     
       38038  -19.747737944751012        289.55984221729534        269.81210427254433        1.5567733452542762     
       39039  -19.746068472177278        275.22327474087791        255.47720626870063        1.4796950254885910     
       40040  -19.745962726781187        283.06303784237849        263.31707511559728        1.5218442894751534     
       41041  -19.746316032940790        314.49419506351944        294.74787903057864        1.6908290057178466     
       42042  -19.746949062372174        268.80791826952265        249.06096920715046        1.4452038616641003     
       43043  -19.747541717941733        265.98381006931641        246.23626835137466        1.4300204842436366     
       44044  -19.747394571641621        261.93335189846397        242.18595732682235        1.4082438274110967     
       45045  -19.746565976022687        245.21890156661431        225.47233559059163        1.3183811912183565     
       46046  -19.746138708690456        274.17737299835005        254.43123428965959        1.4740718978405918     
       47047  -19.744008606324588        247.04556109828593        227.30155249196133        1.3282019413886341     
       48048  -19.745351440449117        282.83709743095710        263.09174599050800        1.5206295560804146     
       49049  -19.746379792094270        247.97153719720990        228.22515740511562        1.3331803075118813     
       50050  -19.747998425294554        236.88838216079466        217.14038373550011        1.2735934524773909     
       51051  -19.748246606629937        308.61065465427470        288.86240804764475        1.6591970680337351     
       52052  -19.748031214056898        265.65178734237469        245.90375612831778        1.4282354158192190     
       53053  -19.748470366984719        278.93550637597281        259.18703600898812        1.4996532600858754     
       54054  -19.748647890997475        252.38666235098637        232.63801445998888        1.3569175395214321     
       55055  -19.748028325794159        256.40094810294465        236.65291977715049        1.3784997209835734     
       56056  -19.747972879019940        266.84093144800647        247.09295856898655        1.4346286636989596     
       57057  -19.747510510568791        244.94995941074359        225.20244890017480        1.3169352656491591     
       58058  -19.748887104622572        265.17134902862699        245.42246192400441        1.4256524141324034     
       59059  -19.750935420867794        315.03579003246784        295.28485461160005        1.6937408066261714     
       60060  -19.751340293224253        259.02088069259491        239.26954039937067        1.3925853800677148     
       61061  -19.750761664243775        270.96973390249531        251.21897223825152        1.4568265263575018     
       62062  -19.750982981809535        267.48573708412391        247.73475410231438        1.4380953606673330     
       63063  -19.750891821366586        247.99526371597824        228.24437189461165        1.3333078694407434     
       64064  -19.752205132557144        255.03153309429263        235.27932796173548        1.3711372747004982     
       65065  -19.753776697360845        264.79151657003456        245.03773987267371        1.4236103041399708     
       66066  -19.755035816782563        242.96920008826032        223.21416427147776        1.3062860219798944     
       67067  -19.757781514409469        284.91754035004800        265.15975883563851        1.5318147330647742     
       68068  -19.758679655054838        251.65668290022847        231.89800324517364        1.3529929188184329     
       69069  -19.758280026098692        274.44171299941297        254.68343297331427        1.4754930806420052     
       70070  -19.758576495926295        259.88658810227071        240.12801160634442        1.3972397209799501     
       71071  -19.759567413187856        280.19135513307850        260.43178771989062        1.5064051351240781     
